naklad_szt;objetosc_m3;konstrukcja_kg;sklejka_m3;drewno_m3;plyta_m2;druk_m2;led_mb;tworzywa_m2;koszty_pozostale;rodzaj_tworzywa;rodzaj_displaya;stopien_skomplikowania;cena
80;0,25875;80;0;0;0;2,92;23;4,27;0;PMMA;kaseton;4;4610,41
100;0,031;0;0;0;0;0,8;0;1;70;PET;naladowy;3;330
10;0,017;8,5;0;0;0;0,3;0;0,3;0;;ekspozytor_tworzywowy;3;479,74
10;0,008;2,2;0;0;0;0,1;0;0;0;;ekspozytor_tworzywowy;2;274
10;0,0212;0,3;0,00264;0;0;0,05;0;0,05;0;;ekspozytor_tworzywowy;2;437,93
2000;0,027;0;0;0;0;0,25;0;0,55;0;PMMA;ekspozytor_tworzywowy;1;96,74
20;0,67;0,5;0;0;4,9;2,8;6;3;0;HIPS;regal;4;1712,18
500;0,00045;0,2;0;0,0004;0;0,0006;0;0;0;;naladowy;2;46,39
50;0,24243525;6;0;0;3;0,25;1;0,126;0;PMMA;regal;3;762,81
100;0,4176;40;0,01;0;0;0,25;6;0;195;;regal;4;2232,3
50;0,02772;0;0,003;0,01;0,17;0,14;0;0,18;35;PET;naladowy;3;916,29
100;0,0128;3;0;0;0,4;0;3,3;0,1;105;PMMA;kaseton;3;583,11
160;0,4032;22;0;0;0;0,2;0;0,2;0;DISPA;regal;2;730,78
500;0,0009;0;0;0;0;0,077;0;0,077;0;PET;pozostale;1;20,38
600;0,32;24;0;0;0;0;0;0,75;0;HIPS;regal;2;897
5000;0,0108;2,96;0;0,0007;0;0,366;0;0;0;;pozostale;1;124,27
100;4,46;52,5;0;0;0;0,25;0;0;0;;pozostale;3;1994,21
500;0,3725568;16;0;0;0;0;0;0;0;;regal;3;503,81
2000;0,0012;0,405;0;0,00016;0;0,0017;0;0;0;;pozostale;1;40,39
1000;0,006;2;0;0;0;0,01;0;0;0;;naladowy;2;106,7
2000;0,0013;1,75;0;0;0;0,01;0;0;3,5;;naladowy;2;84,23
40;1,546776;22;0,0488;0;0;4,6;0;0;0;;owijka;2;1767,73
3000;0,01357;0;0;0;0;0,07;0;0,3;0;PMMA;ekspozytor_tworzywowy;3;66,7
100;0,0269;0,025;0,066;0;0;0,3;0;0,05;0;HIPS;naladowy;2;266,87
20;0,002;0;0;0;0;0,133;2;0,34;0;PMMA;pozostale;2;421,34
500;0,01845;0;0;0;0;0;0;0,5;6000;HIPS;ekspozytor_tworzywowy;1;85
10;2,01;120;0;0;0,12;4,07;2,5;4,5;0;;regal;3;5491,03
10000;0,0003;0,216;0;0;0;0,0025;0;0;0;;pozostale;1;9,77
250;0,2;12;0;0;0;0,3;0;0,3;0;NAKLEJKA;ekspozytor_tworzywowy;3;486,02
250;0,192;13,5;0;0;0;1,2;0;1,2;0;PET;regal;3;595,4
60;0,28;10;0,01;0;0;0,16;0;0,3;0;PET;regal;1;575,13
50;0,132;5;0;0;0;0,2;0;1;190;HIPS;ekspozytor_tworzywowy;3;649,32
8000;0,00375;0;0,00017;0;0;0,05;0;0,16;0;PET;naladowy;2;27,95
8000;0,0018;0,05;0,00012;0;0;0,01;0;0,1;0;;naladowy;2;21,21
220;0,024;2,5;0,0032;0;0;0;0;0;0;;pozostale;1;173
15;0,833;27;0;0;6,4;2,8;0;2,8;0;NAKLEJKA;pozostale;3;1616
120;0,063;1;0,044;0;0;0,15;0;0,2;0;PET;pozostale;1;147,53
12;3,24;40;0;0;2,25;2,8;16;2,8;1720;PET;wyspa;3;5763
40;0,24;40;0;0;0;1,15;6;1,5;0;PMMA;naladowy;5;2361,92
70;0,787;45;0;0;0;0;6;0,6;0;NAKLEJKA;regal;3;2165
50;0,93988125;92;0;0;0;3,5;8,8;1,422;0;PMMA;regal;4;3758,54
550;0;1,6;0;0;0;0,03;0;0,72;0;HIPS;naladowy;1;230
200;0,045;0;0;0;0;0,5;3;0,5;100;PMMA;ekspozytor_tworzywowy;3;381
250;0,165;11;0;0;0;0,4;0;0,4;0;NAKLEJKA;ekspozytor_tworzywowy;3;510
550;0,006;0,15;0;0;0;0,13;0,4;0,09;9;PMMA;ekspozytor_tworzywowy;3;208
50;1,344;170;0;0;0;3;15;3;750;PMMA;wyspa;5;7361,97
50;1,344;170;0;0;0;3;15;3;0;PMMA;wyspa;5;7361,97
50;0;0;0;0;0,36;0,08;0;0,06;0;PET;naladowy;3;306,89
10;0,00015;0;0;0;0;0,06;0;0,03;0;HIPS;pozostale;1;48,5
10;0,00018;0;0,00018;0;0;0;0;0;0;;pozostale;1;48,29
30;0,00045;0;0;0;0;0,18;0;0,9;0;HIPS;pozostale;1;35,14
1000;0,00078;0,2;0;0,0008;0;0;0;0;0;;ekspozytor_tworzywowy;2;63,07
1000;0,208;8;0;0;0;0,1;0;0,3;0;HIPS;pozostale;3;320
100;0,283;2;0;0;2,32;0,8;0;0,6;0;PET;ekspozytor_tworzywowy;3;511,93
100;0,282;2;0;0;2,32;0,8;0;0,1;0;PET;regal;3;481
100;0,4;20;0;0;0;0,21;0;0,21;0;HIPS;regal;3;745,28
30;0,00054;0;0,00054;0;0;0,18;0;0;0;;pozostale;1;40,71
100;0,28;2;0;0;2,32;0,8;0;0,1;0;NAKLEJKA;regal;3;419
200;0,015;3;0;0;0,39;0,035;0;0,04;0;PET;pozostale;2;176,23
200;0,0036;2;0;0;0;0,005;0;0;200;;naladowy;1;299,49
50;0,0036;2;0;0;0;0,005;0;0;250;;naladowy;1;390
100;0,315;29;0;0;0;1,87;5,5;2,9;0;PMMA;regal;4;1433
100;0,646932;54;0;0;0;3,24;8,48;5,375;0;PMMA;regal;4;2536,85
